Package,Size_MB,SHA256
QAI_NEXUS_SUPREME_V2_FINAL.zip,50.53,44c4314f72e8888632914c151058ae22d7b894d8524d1bd111d3cb726cdb4012
QAI_NEXUS_V2_DOI_PUBLICATION_READY.zip,50.53,e6736b393d5694894deaa7b6cac6b116b57a0222dec8843650520101aad25238
QAI_NEXUS_V2_INSTITUTIONAL_SUBMISSION_BUNDLE_V2.zip,47.38,a31aeaae6f54b1bcefbad7931b9acec5df9331cf7dbe4ee28ef1d74cd45c8499
QAI_NEXUS_V2_R1_ARCHIVAL_SUBMISSION_PACKAGE.zip,47.39,ab0cb95ec12caa002233967d9f11774a07804a65f438eafaefd9b63fea304948
QAI_NEXUS_V2_SUBMISSION_BUNDLE.zip,47.37,0972b5a780df47b61acc366e7361ad0ef5c77ba471fa49184ebe08ec9cb2f983
QAI_NEXUS_V2_UNIFIED_CANONICAL_RELEASE.zip,47.39,ed9e4577bf69eb98a58e2977404746656956c2ee5f9b706b8b398771d6ea582f
QAI_NEXUS_V2_VISUALIZATION_LAYER.zip,0.47,2394b9056aa0b7ff19a8ebbd50ddf32f48b6ed0452c05cc62b0a64bbb578b603
