timestamp,cpu_usage,memory_usage,latency_ms,execution_duration
1779465686.604359,51.6,10.0,0.0050067901611328125,0.0050067901611328125
1779465686.6063004,0.0,10.0,0.005245208740234375,0.005245208740234375
1779465686.6064987,0.0,10.0,0.003337860107421875,0.003337860107421875
1779465686.6066887,0.0,10.0,0.003814697265625,0.003814697265625
1779465686.606875,0.0,10.0,0.003814697265625,0.003814697265625
1779465686.6070058,0.0,10.0,0.0019073486328125,0.0019073486328125
1779465686.6071017,0.0,10.0,0.0019073486328125,0.0019073486328125
1779465686.6071894,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6072774,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.607363,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6074543,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6075397,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.607736,0.0,10.0,0.003337860107421875,0.003337860107421875
1779465686.607932,0.0,10.0,0.0040531158447265625,0.0040531158447265625
1779465686.6083608,0.0,10.0,0.0026226043701171875,0.0026226043701171875
1779465686.6084642,0.0,10.0,0.0019073486328125,0.0019073486328125
1779465686.6085665,0.0,10.0,0.0026226043701171875,0.0026226043701171875
1779465686.6087153,0.0,10.0,0.002384185791015625,0.002384185791015625
1779465686.608838,0.0,10.0,0.0019073486328125,0.0019073486328125
1779465686.6089325,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.609018,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6091137,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6092007,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6092827,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.6093633,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6094468,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6095312,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6096509,0.0,10.0,0.0021457672119140625,0.0021457672119140625
1779465686.609747,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6098309,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6099114,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6099942,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6100812,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6101682,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6102486,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.610327,0.0,10.0,0.00095367431640625,0.00095367431640625
1779465686.6104052,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.6104836,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.6105614,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.610678,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6107678,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.6108499,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6109283,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.6110168,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6111035,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.6111832,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6112602,0.0,10.0,0.001430511474609375,0.001430511474609375
1779465686.611344,0.0,10.0,0.0016689300537109375,0.0016689300537109375
1779465686.6114326,0.0,10.0,0.0011920928955078125,0.0011920928955078125
1779465686.611511,0.0,10.0,0.001430511474609375,0.001430511474609375
