Noise_Level,Correlation,Mean_Absolute_Error
0.01,0.9978853477799084,0.0028443865039103
0.02,0.9916545955608148,0.005657006062941
0.05,0.950521634679662,0.0142788836877088
0.1,0.842290386546052,0.0281458770336112
