Figure,Caption
Figure01_PCA_ExplainedVariance,Publication-ready figure: Figure01_PCA_ExplainedVariance
Figure02_TOPSIS_Distribution,Publication-ready figure: Figure02_TOPSIS_Distribution
Figure03_TOP20_Ranking,Publication-ready figure: Figure03_TOP20_Ranking
Figure04_XGBoost_Importance,Publication-ready figure: Figure04_XGBoost_Importance
Figure05_MonteCarlo_Distribution,Publication-ready figure: Figure05_MonteCarlo_Distribution
Figure06_Bootstrap_Distribution,Publication-ready figure: Figure06_Bootstrap_Distribution
Figure07_Sensitivity_Curve,Publication-ready figure: Figure07_Sensitivity_Curve
Figure08_Correlation_Heatmap,Publication-ready figure: Figure08_Correlation_Heatmap
Graphical_Abstract,Publication-ready figure: Graphical_Abstract
