Simulation,Mean,Std
1,0.35618451982012694,0.05503315673401905
2,0.3543654136665614,0.054377591955760425
3,0.35601682540475493,0.05521978293673791
4,0.3558099986436252,0.05487541303088677
5,0.3559181551714013,0.054931911164504535
6,0.3563245539344736,0.0554835736476915
7,0.3561461108221597,0.05554764294651683
8,0.3556281181251146,0.05468972057765933
9,0.3566747158120768,0.055228649153512305
10,0.35550696094345424,0.054977313172563956
11,0.3557383176227404,0.0552768462857824
12,0.3562886064238485,0.05542566916237309
13,0.35517107537240244,0.05495754909512642
14,0.3553390838428956,0.05530135042006296
15,0.356174292025393,0.05538102275898847
16,0.35674111769299444,0.05520782479699235
17,0.3564579970851322,0.05537267956459857
18,0.3567379565566802,0.05563038975622672
19,0.357097697770479,0.0556388544325598
20,0.3552558847035837,0.054843221928351255
21,0.3568584224746673,0.05508998399355286
22,0.3556647439640287,0.05527262312665602
23,0.3565799128230814,0.05518450188667772
24,0.3554484683164489,0.05512445185724436
25,0.35607708084304435,0.054970026526008756
26,0.35645903503368215,0.05552790921847599
27,0.3555801967621163,0.05500992722128255
28,0.35598722251764653,0.05533370850046646
29,0.3567243368431273,0.05502335088193027
30,0.35602737165161547,0.055556485635855433
31,0.3558138411103284,0.05453468338430009
32,0.35614248247197183,0.055462626405946146
33,0.35666775572760084,0.0548868847244952
34,0.35579448759775806,0.054856340318914044
35,0.3558063139797715,0.05550465105954893
36,0.3558881171021186,0.0556754850299917
37,0.35653249887890187,0.05446266721956619
38,0.35533023637701006,0.05560211232511822
39,0.3556394725761578,0.05535645721903871
40,0.3556925069539309,0.055308110189076824
41,0.355858168936843,0.055425296953418204
42,0.35641115340791785,0.05516843508693709
43,0.3557089066932468,0.05489148735851715
44,0.3552373081692388,0.05477237677441187
45,0.3555580991843532,0.05520415430079919
46,0.35615255304144106,0.05486663053695549
47,0.35697619174101186,0.05593419201147007
48,0.35567147615772676,0.05477525422981822
49,0.35538984004486646,0.05487100089929881
50,0.3555815262883301,0.055439735089509265
51,0.35567141888709536,0.05474684372686035
52,0.35664769651131184,0.056075421996433464
53,0.3554434222658662,0.05453037211266288
54,0.3544819205234494,0.055551815192043885
55,0.3550050425227879,0.05501816235995073
56,0.35682290255650806,0.05494664167668632
57,0.35662473698050395,0.055654014668480335
58,0.3557585793905807,0.05591924638104703
59,0.3558270728109916,0.05600603598023682
60,0.35686034508861303,0.05542804130424387
61,0.35594913014464,0.05515314309463296
62,0.35466998532905863,0.05472249913354602
63,0.3553798241906024,0.05574044868516283
64,0.35544823600945546,0.05551386487208817
65,0.35535892815294123,0.05500754990691638
66,0.35615027191883575,0.05609416817503493
67,0.3560467005921067,0.05578471209480411
68,0.35608040462517077,0.05575054487304052
69,0.3557939817475473,0.05433748213570147
70,0.35633870851589644,0.05536353114294543
71,0.3572913290434958,0.05600609129347098
72,0.3555581067372157,0.055447919963667824
73,0.35549473655118896,0.055333190886267404
74,0.35564325936790064,0.05538805617296907
75,0.35563175957524623,0.055236742220974334
76,0.35640910707134815,0.054773312992342095
77,0.3555366505249314,0.054979159174471465
78,0.35681501243837915,0.055343008499314526
79,0.3559628652089402,0.055174777819512834
80,0.35560988804029076,0.055097258578115996
81,0.3550908229903087,0.05476450836197153
82,0.35574246251957825,0.0554409061708011
83,0.3559548622898747,0.05447929285908981
84,0.35662971530070264,0.05560201840698981
85,0.35489361616743126,0.0549004644197654
86,0.3562473033684087,0.05619943913571411
87,0.3561166672631932,0.05546207025358762
88,0.35638477867987656,0.055784388393431625
89,0.35581783189127614,0.05463144759057088
90,0.35658648934454806,0.056128639014684824
91,0.35533660857819277,0.05515787811315976
92,0.3558923986994868,0.05588286502989149
93,0.35693256440873156,0.055350881003805724
94,0.356870898762932,0.05568825875717212
95,0.3552204433071632,0.05481125444280558
96,0.35487501236858593,0.05560623654462257
97,0.35470137033981625,0.05440109449928289
98,0.35626419966537554,0.05505390703511052
99,0.35461600963546,0.05519596069003141
100,0.35736242023733666,0.05543614364982742
101,0.35623169979233804,0.0559226812544755
102,0.35579543374753314,0.0556949749633082
103,0.3564003150497247,0.05499987222107435
104,0.35546166654150213,0.05510368072696557
105,0.3562686443055499,0.055331349113114346
106,0.3571851571954724,0.05496704097269068
107,0.3573320533215924,0.05583256191104639
108,0.35626435312029486,0.05484690604440916
109,0.3560729557767166,0.05502310719582807
110,0.3564321896443416,0.05604845519801934
111,0.35647154985944157,0.056134821672666424
112,0.3549644933603972,0.0548910190754809
113,0.35516425284903086,0.05513914243184477
114,0.35549575354437174,0.05562580841487713
115,0.3544174639734469,0.05430884648646974
116,0.35554743506635966,0.05528391218880977
117,0.3565424918045064,0.05508668461900102
118,0.3556369340248835,0.05515026683866517
119,0.35580805662394693,0.055630599354851214
120,0.3556462630833116,0.0549034143815141
121,0.35572089580328076,0.055850237839243186
122,0.3565170131418496,0.055399788121375255
123,0.3559322991313492,0.05470669261864275
124,0.35727826309688604,0.055558163334318185
125,0.35700870640614263,0.054281574030468974
126,0.3565646327908445,0.05519460156553808
127,0.3555277201297653,0.055286192819222146
128,0.35563857012529054,0.05501677150709625
129,0.3562287233315341,0.05539586918244964
130,0.3570402137818409,0.05558660095407595
131,0.3569986108642839,0.055332291618142924
132,0.35631173876261324,0.05517730958101487
133,0.3575088611764503,0.055473268889232014
134,0.3566675887533806,0.055265786616041694
135,0.3558545914063631,0.05507775671789827
136,0.3561171981235238,0.055269422611041466
137,0.35537447706699893,0.0552975038804907
138,0.35558570195934414,0.05557902595875479
139,0.35659695605669073,0.05471017345098934
140,0.35493632988596374,0.05520955000963345
141,0.35538828424249513,0.05541099320391558
142,0.3559469524947154,0.05520849542330131
143,0.3563862540791924,0.05543933121065461
144,0.35482163006943146,0.05492094692454044
145,0.35530105019751324,0.05499947911238658
146,0.3550982195848786,0.055495819144547126
147,0.35561415529618995,0.05473008891181027
148,0.35533190743547155,0.05504566728701958
149,0.35650951546662535,0.05528008167679159
150,0.35622273857434344,0.05522795113089722
151,0.3559109012209625,0.055570923452922215
152,0.356302666071613,0.05551670281714839
153,0.3555179659526743,0.05551899898106959
154,0.3562419456374233,0.05600967690728623
155,0.3561633580541807,0.05534687225968781
156,0.354950632307942,0.05520822439870029
157,0.3557216341340873,0.05502500348614312
158,0.3561505726829927,0.05561576615059174
159,0.3571481375834399,0.055129974896289305
160,0.3557239191786069,0.055902991369637674
161,0.35612330593364827,0.0550079370207039
162,0.3552074202965687,0.055144057240888854
163,0.35489766759816155,0.054413636785946275
164,0.3548806418351606,0.05533719421258301
165,0.356143298863747,0.055002471237472324
166,0.3555543462353242,0.05501894265893048
167,0.35579469407219516,0.0551472601028944
168,0.3563008637177795,0.05510600742151609
169,0.3559272801011835,0.05510715281781192
170,0.35685489780700014,0.055429753406219494
171,0.35600086506132506,0.055684135698967775
172,0.3558938554091374,0.0551213610796239
173,0.3565354806921413,0.0553740220847085
174,0.3555521859265202,0.05574174005918776
175,0.35614960592654715,0.055700099286655085
176,0.3562439375379417,0.055641187161868035
177,0.3558766591468719,0.055782553782656424
178,0.35653119617089835,0.05470075251986209
179,0.35615402397217394,0.055908563678700826
180,0.35569911515914227,0.05478137581263919
