Noise_Level,Correlation,Mean_Absolute_Error
0.01,0.9978853477799084,0.0028443865039103245
0.02,0.9916545955608147,0.005657006062941087
0.05,0.950521634679662,0.01427888368770887
0.1,0.842290386546052,0.028145877033611228
