,PC1,PC2,PC3,PC4,PC5,PC6
hdi,-0.007394368480429862,0.949370249075896,0.31183199061536904,0.02781820336459665,-0.024097060469912047,0.006909584030733951
le,0.49047256046036936,0.08480929564002843,-0.1879414908723508,0.06848321091268883,0.7045432998801566,-0.46459749809295897
eys,0.48593610570449175,0.10948821089781169,-0.31071105645213715,-0.23270401878169147,0.09565908887924532,0.7694382695208161
mys,0.48073029028694275,0.07994627237751113,-0.24723907628618697,-0.29590707109478115,-0.6599320555228895,-0.4222659210262741
gnipc,0.44600302435772954,-0.11564574372080189,0.2706957973585006,0.8061024481238752,-0.22621094695202726,0.11601120688635463
co2_pc,0.3053322488492939,-0.24443915543384678,0.7978057843144085,-0.4505806092502291,0.08488638617518579,0.0172934562103918
