,Coefficient,P_Value
hdi,0.0006808390273644096,0.0
le,0.0010868233921793044,0.0
eys,0.00416165216360325,0.0
mys,0.005561891724539335,0.0
gnipc,7.843927511733824e-07,0.0
co2_pc,0.0007545193493997638,0.0
const,0.16794341692347137,0.0
