,Coefficient,P_Value
hdi,0.0006803421223113863,0.0
le,0.0010794540283581065,0.0
eys,0.0041292521912138615,0.0
mys,0.005651682715958497,0.0
gnipc,7.940821806036319e-07,0.0
co2_pc,0.000758821537108203,0.0
const,0.16794274211418347,0.0
