Variable,Missing_Count,Missing_Percent
iso3,0,0.0
country,0,0.0
hdi,701,10.01
Year,0,0.0
le,0,0.0
eys,320,4.57
mys,549,7.84
gnipc,152,2.17
co2_pc,1163,16.6
generation_twh,6980,99.66
generation_share_pct,6980,99.66
generation_kwh_per_capita,6980,99.66
