file_name,size_mb,sha256
co-emissions-per-capita.zip,0.2021,d11aa86b6a42cf06c540ae2737cce608e654d1f4b35ec864e00fc9e034d73e32
ember_yearly_electricity-generation - All electricity sources - World - breakdown.csv,0.0197,7cfb8999f63c97f3b46a9d34bc13c5981961ed38bf2f593c3541351b2a28ac59
HDR25_Composite_indices_complete_time_series.csv,1.9086,61ed82e5b66c88dfca8ff9fac775c63981ecab6a254862af97acacc41c143117
HDR25_Composite_indices_metadata.xlsx,0.0131,b4128881e81d208aa75920114e1189ca01dcea41c7d8e977732e9342f6de0a8d
HDR25_Statistical_Annex_HDI_Table.xlsx,0.042,0927ec85756fe5059484b72e22d1b2af2706060d962394a18a22eca19e79ba7f
ITU_regional_global_Key_ICT_indicator_aggregates_Nov_2025.xlsx,0.1051,fd9070eb39b133bd600afa97d088c98ecb07bb730c9861675295c99174d0759a
wipo-pub-2000-2025-gii-tech1 (1).xlsx,0.8926,29dac5fadb7c1ef3ae54044887db8eedd232a08f7cae930cf886e131afd55b81
wipo-pub-2000-2025-gii-tech1.xlsx,0.8926,29dac5fadb7c1ef3ae54044887db8eedd232a08f7cae930cf886e131afd55b81
